LHR-MAA:8235.46
JFK-JNB:9078.82
SAN-LHR:5545.51
JNB-SIN:8657.45
JFK-AMS:5851.85
JNB-JFK:12832.06
LHR-MEL:6031.72
JFK-FRA:6193.27
LHR-SEA:5712.13
BOM-JFK:5541.70
EBB-LHR:6834.98
SIN-JFK:11000.19
MAN-LHR:217.88
MAN-LHR:217.88
ZRH-FRA:283.63
ZRH-FRA:283.63
ZRH-FRA:283.63
MAN-DEL:6735.06
ZRH-FRA:283.63
ZRH-FRA:283.63
ZRH-FRA:283.63
LHR-MRU:9788.35
DXB-MAD:1251.23
JFK-SYD:12080.87
LHR-KHI:1188.98
JNB-BOM:1928.84
LHR-MAN:211.31
LHR-MAN:211.31
FRA-ZRH:294.75
FRA-ZRH:294.75
FRA-ZRH:294.75
SYD-JFK:16010.56
MXP-ZRH:221.87
MXP-ZRH:221.87
JFK-LIN:975.16
JNB-SEZ:3755.73
CDG-IAH:1917.26
JNB-AMS:9015.71
HKG-PER:5328.64
MRU-LHR:347.40
JFK-SIN:15350.42
MAD-DXB:5650.76
MEX-MAD:9078.12
HKG-LAS:2821.85
MAA-LHR:8231.25
FRA-JFK:5541.70
FRA-JFK:5541.70
ZRH-ICN:8754.62
ZRH-ICN:8754.62
ZRH-ICN:8754.62
MAA-LHR:5493.81
MAA-LHR:5493.81
FRA-ZRH:294.75
FRA-ZRH:294.75
FRA-ZRH:294.75
JNB-SEZ:2111.62
SEA-LHR:651.19
OSL-ARN:295.92
GVA-JFK:6205.61
JFK-GVA:756.99
MEL-LHR:16915.24
LHR-MAN:211.31
LHR-MAN:211.31
IAH-CDG:8071.74
DOH-JFK:10767.82
ZRH-MXP:230.57
ZRH-MXP:230.57
MAD-MEX:1939.68
MAD-MEX:1939.68
AMS-JNB:8737.52
LHR-MAA:1767.60
LHR-MAA:1767.60
JFK-HEL:1523.05
FRA-ZRH:294.75
FRA-ZRH:294.75
FRA-ZRH:294.75
KHI-LHR:6339.58
BOM-JFK:12534.80
DOH-JFK:10767.82
DXB-LIS:1469.57
EWR-HAM:745.28
ABQ-SFO:1538.38
ICN-ZRH:256.75
ICN-ZRH:256.75
LIS-DXB:6137.71
SEZ-JNB:3068.92
SEZ-JNB:3068.92
FRA-BSL:292.38
JFK-BOM:1928.84
JFK-BOM:1928.84
JFK-CGK:878.37
LHR-SCL:2616.48
LHR-SAN:7959.45
EDI-JFK:5541.70
SIN-JNB:6418.69
SIN-JNB:6418.69
LHR-EBB:6500.89
JFK-DOH:381.16
JFK-DOH:381.16
JFK-CGK:3260.04
NRT-LGA:2091.54
AMS-JFK:5541.70
CGK-JFK:16178.71
CGK-JFK:16178.71
MAD-EWR:5563.90
DEL-MAN:5497.53
BOM-JNB:6966.77
ICN-ZRH:294.75
ICN-ZRH:294.75
ZRH-ICN:8553.42
ZRH-ICN:8553.42
ZRH-ICN:8553.42
FRA-BSL:292.38
SCL-LHR:347.40
CDG-LAX:936.56
LIN-JFK:6881.32
MEX-MAD:9078.12
MAN-LHR:217.88
MAN-LHR:217.88
JFK-EDI:531.15
PER-HKG:6034.56
BSL-FRA:281.60
BSL-FRA:281.60
JFK-FRA:6193.27
HEL-JFK:6610.95
SFO-HEL:1532.56
ZRH-MXP:230.57
ZRH-MXP:230.57
LAX-CDG:9081.55
HAM-EWR:6142.80
ZRH-FRA:283.63
ZRH-FRA:283.63
ZRH-FRA:283.63
EWR-MAD:5791.06
ICN-ZRH:294.75
ICN-ZRH:294.75
SFO-ABQ:1438.64
HEL-SFO:8618.18
LAS-HKG:11665.38
MXP-ZRH:221.87
MXP-ZRH:221.87
LGA-NRT:10302.48
JNB-SIN:8657.45
ARN-OSL:492.28
